variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems,h2l_mean_top5
w/o IDF Specificity,HIV_TB_005_PAR_01,complex,ผู้ป่วยเอดส์และวัณโรค,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,False,0.6915530685316426,5,4.481199255999999
w/o IDF Specificity,BEDRIDDEN_006_PAR_01,simple,เคสติดเตียงไร้ญาติ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.022497534727691854,1,0.42658272999999997
w/o IDF Specificity,BEDRIDDEN_010_PAR_01,complex,เคสติดเตียงไร้ญาติ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.17990711681447688,2,1.3509619039999998
w/o IDF Specificity,REHAB_001_PAR_01,moderate,เคสขอทุนฝึกอาชีพและฟื้นฟูสมรรถภาพ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.19498910227431282,3,1.3252711199999998
w/o IDF Specificity,REHAB_003_PAR_01,moderate,เคสขอทุนฝึกอาชีพและฟื้นฟูสมรรถภาพ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6428571428571428,1.0,False,0.18901062337303573,4,1.2792988360000002
w/o IDF Specificity,REHAB_004_PAR_01,simple,เคสขอทุนฝึกอาชีพและฟื้นฟูสมรรถภาพ,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,False,0.05491745398826682,2,0.52928957
w/o IDF Specificity,REHAB_005_PAR_01,moderate,เคสขอทุนฝึกอาชีพและฟื้นฟูสมรรถภาพ,0.2,0.5,0.28571428571428575,0.6131471927654584,0.6666666666666666,1.0,False,0.02041719174035341,1,0.32813239399999994
w/o IDF Specificity,FINANCE_001_PAR_01,simple,เคสปัญหาด้านการเงิน,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0,False,0.10368932744414044,3,0.831681348
w/o IDF Specificity,FINANCE_002_PAR_01,moderate,เคสปัญหาด้านการเงิน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.06764227404889582,2,0.6617880819999999
w/o IDF Specificity,FINANCE_003_PAR_01,moderate,เคสปัญหาด้านการเงิน,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.19282875756948042,4,1.333609268
w/o IDF Specificity,LOVE_005_PAR_01,moderate,เคสปัญหาด้านความรัก,0.0,0.0,0.0,0.0,0.0,0.0,False,0.23207738378303142,4,1.613291034
w/o IDF Specificity,FAMILY_001_PAR_01,moderate,เคสปัญหาครอบครัว,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,False,0.50737162537067,4,3.5075174419999997
w/o IDF Specificity,FAMILY_002_PAR_01,complex,เคสปัญหาครอบครัว,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,False,0.22106927477072766,4,1.515598438
w/o IDF Specificity,FAMILY_003_PAR_01,simple,เคสปัญหาครอบครัว,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05207978754088103,0,0.030429259999999996
w/o IDF Specificity,CHILD_003_ESC_01,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,False,0.07319734574442407,2,0.642380764
w/o IDF Specificity,ELDER_001_ESC_01,complex,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.03177874549959668,1,0.41005807600000005
w/o IDF Specificity,ELDER_003_ESC_01,complex,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.08806708514082633,2,0.76807439
