model,strategy,P@5_mean,P@5_std,R@5_mean,R@5_std,F1@5_mean,F1@5_std,DCG@5_mean,DCG@5_std,IDCG@5_mean,IDCG@5_std,nDCG@5_mean,nDCG@5_std,P@10_mean,P@10_std,R@10_mean,R@10_std,F1@10_mean,F1@10_std,DCG@10_mean,DCG@10_std,IDCG@10_mean,IDCG@10_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,F1@15_mean,F1@15_std,DCG@15_mean,DCG@15_std,IDCG@15_mean,IDCG@15_std,nDCG@15_mean,nDCG@15_std,MAP_mean,MAP_std,MRR_mean,MRR_std
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-hyde,0.052000000000000005,0.10098504739801728,0.15916666666666665,0.3243951031389287,0.07448412698412699,0.14194663679866062,0.2132565658878756,0.451675026843451,0.9844206089021692,1.5881263557693217,0.09502648015852282,0.20023144623248712,0.05,0.08102873913406629,0.2866666666666667,0.425136143771311,0.08233266733266734,0.12914377222244486,0.3406621279540322,0.5728640481778208,0.9844206089021692,1.5881263557693217,0.13706273895692234,0.22433660641164369,0.04333333333333333,0.06922693208355735,0.36,0.4824181513244218,0.07541150670794634,0.1167212783899853,0.4212988891237081,0.6926104866807903,0.9844206089021692,1.5881263557693217,0.16079567533782815,0.2373012684870369,0.10204432604432605,0.17822717614347205,0.11338431013431012,0.21410435661756747
scb10x/llama3.1-typhoon2-8b-instruct:latest,h2l-hybrid,0.04800000000000001,0.1029661119107651,0.17666666666666667,0.3706547729603574,0.07357142857142858,0.15525949533353883,0.3258589227423321,0.7956724109695049,0.8477324383928644,1.5228746596461897,0.1163666494618785,0.25196583175845855,0.034,0.05898125023079692,0.2583333333333333,0.425989967371047,0.05903263403263404,0.1003398707059023,0.38521391735096017,0.8533614316585711,0.8477324383928644,1.5228746596461897,0.14422766328568337,0.25972232182301164,0.03,0.04773194889176025,0.34,0.47609522856952324,0.05438725490196078,0.0843629200250588,0.4406441512380549,0.8920282771325262,0.8477324383928644,1.5228746596461897,0.16564300002009857,0.265562990837441,0.10905566655566655,0.21757456465040234,0.11688431013431014,0.24171442866423734
h2l/typhoon-gemma3-4b-templatefix-v2:latest,bm25_only,0.03,0.07177405625652736,0.12,0.3025147128903841,0.04714285714285715,0.11315275365932781,0.17057503459095905,0.5281818178111304,0.6567836778214311,1.1431573495065572,0.0886123955582944,0.23060603087362677,0.03,0.05595813731096785,0.235,0.417151233385629,0.05257575757575758,0.09663276999724928,0.26093267402059545,0.5814601724100894,0.6567836778214311,1.1431573495065572,0.12923949149762273,0.2575810287193617,0.026000000000000002,0.04331390395813193,0.3,0.4605661864718382,0.04742647058823529,0.07794506515036029,0.31139721111835766,0.6010409850609073,0.6567836778214311,1.1431573495065572,0.14720772983930971,0.2596511578606466,0.09875527250527251,0.2160219464619193,0.10857514707514708,0.2428915852835553
h2l/typhoon-gemma3-4b-templatefix-v2:latest,naive_rag,0.042,0.08666666666666667,0.14666666666666667,0.3189488909868293,0.06357142857142857,0.13105859525662983,0.2617477895376774,0.6494095833559492,0.9203510334642935,1.5330448436089736,0.10229416109435953,0.22078503524767204,0.037000000000000005,0.06138963160572696,0.24333333333333332,0.3959814980543242,0.06289044289044289,0.10257532886176085,0.3648624168986457,0.7292411609649315,0.9203510334642935,1.5330448436089736,0.13823625603649753,0.23377366234851646,0.03933333333333334,0.05771169492087137,0.38,0.4878317312145633,0.07017156862745098,0.10049813925970996,0.44451511207957667,0.8167913429258148,0.9203510334642935,1.5330448436089736,0.174023090289365,0.25160601316793246,0.10298345173345175,0.1735442776556483,0.12823759573759574,0.2559084524760197
h2l/typhoon-gemma3-4b-templatefix-v2:latest,hyde,0.048,0.1105358847532412,0.1475,0.3256382406115675,0.06801587301587303,0.14772238776066873,0.24033085415622282,0.5876941525486332,0.8711087794114739,1.484481311212393,0.08926267972877844,0.2027037940497465,0.03900000000000001,0.07640270765734511,0.24583333333333332,0.4101981057621053,0.06462703962703963,0.1192906488704363,0.3162761783920595,0.6868798376508131,0.8711087794114739,1.484481311212393,0.12065773749878671,0.21862612926434333,0.038,0.062319548701774294,0.36,0.48241815132442173,0.0669749742002064,0.10528310162292069,0.3943680290219884,0.7537897813544842,0.8711087794114739,1.484481311212393,0.15522706850889134,0.23116089050300098,0.09703431290931291,0.18505337354186757,0.10572965922965923,0.21944417867493302
h2l/typhoon-gemma3-4b-templatefix-v2:latest,basic,0.05,0.1039619199903542,0.16583333333333333,0.34785195420271636,0.07333333333333333,0.14921739304626494,0.3345803462431144,0.7584682868383276,0.9513459695543323,1.619069230184046,0.11624109088265067,0.24812673436683133,0.04,0.06666666666666667,0.2825,0.4309659171828886,0.0678887778887779,0.108400988768728,0.40389017377239367,0.8016730998576376,0.9513459695543323,1.619069230184046,0.15390497645538934,0.2546884030990787,0.03666666666666667,0.05945883900105632,0.37,0.4852365870939097,0.06503869969040248,0.10067101412980714,0.47527442645181756,0.8894137069375062,0.9513459695543323,1.619069230184046,0.17754767672363275,0.26535577471675614,0.11300194250194251,0.21422053716246706,0.12272161172161172,0.23383780689202827
h2l/typhoon-gemma3-4b-templatefix-v2:latest,h2l-bm25,0.038000000000000006,0.07885544888073251,0.15,0.3345935772737755,0.058928571428571434,0.12309585213687381,0.21133845677254506,0.5201245891819315,0.7394022728928603,1.286885846912491,0.09512060442724554,0.21807945282071226,0.032,0.060100925218512326,0.2316666666666667,0.40679897941375953,0.054883449883449884,0.10011887996794794,0.27936116901454544,0.5859536186168969,0.7394022728928603,1.286885846912491,0.12303679748764716,0.23275643077861793,0.03066666666666667,0.051395781683516675,0.33,0.47258156262526085,0.055098039215686276,0.08948120173328511,0.34106708884746795,0.6374663563836585,0.7394022728928603,1.286885846912491,0.15029770060892308,0.24073994564434156,0.09763767713767713,0.19331328476478804,0.11192099567099566,0.2313773290204328
h2l/typhoon-gemma3-4b-templatefix-v2:latest,h2l-naive_rag,0.05,0.1,0.1775,0.35841162718383063,0.07543650793650794,0.14864281185884692,0.28696690491618154,0.7739055747586141,0.8344206089021692,1.4656228976181795,0.115138261950261,0.24405235542779635,0.036000000000000004,0.06593538312222619,0.24166666666666667,0.41260648049213644,0.06115551115551116,0.1090759971163677,0.3653667888175909,0.8237725801423935,0.8344206089021692,1.4656228976181795,0.1385747939879899,0.2531700674834182,0.03333333333333333,0.055656473995781455,0.33,0.47258156262526074,0.05940660474716203,0.09601800599321032,0.4238244542794426,0.858625228351045,0.8344206089021692,1.4656228976181795,0.16330827336869458,0.26449405261781256,0.10702439227439227,0.2080193539938057,0.12021800421800422,0.2543648975813377
h2l/typhoon-gemma3-4b-templatefix-v2:latest,h2l-hyde,0.04800000000000001,0.09479376870796195,0.1525,0.32068927414234466,0.06948412698412698,0.13546478349363503,0.2026405027714271,0.4439439136666929,1.0044206089021692,1.6150755164059558,0.09004458758385869,0.196257366986146,0.048,0.07717224601860151,0.28,0.41902028858358276,0.07925574425574426,0.12356259098952284,0.3301904136488012,0.5634882927442478,1.0044206089021692,1.6150755164059558,0.13143184220985338,0.2185923398099866,0.04333333333333333,0.06922693208355735,0.36,0.4824181513244218,0.07541150670794634,0.1167212783899853,0.42149609032610413,0.692883966470636,1.0044206089021692,1.6150755164059558,0.15774746969036046,0.23300957127063085,0.09939183964183965,0.17502492308472434,0.10963431013431013,0.2105184523532694
h2l/typhoon-gemma3-4b-templatefix-v2:latest,h2l-hybrid,0.05,0.1039619199903542,0.18166666666666667,0.3716186875464988,0.07642857142857144,0.1565157586681559,0.3298459118879392,0.7870623823994303,0.8640417359285789,1.5224373205291115,0.12279440807085475,0.26174824316775885,0.035,0.059246105442476216,0.2633333333333333,0.4258615088163734,0.0606993006993007,0.10073283652068979,0.3892009064965673,0.8450563679732376,0.8640417359285789,1.5224373205291115,0.1506554218946596,0.26855029562802907,0.03133333333333333,0.04873713822102513,0.35,0.47937248544110234,0.05674019607843137,0.08609419386533118,0.44719072063176013,0.8847491090440351,0.8640417359285789,1.5224373205291115,0.17364015807285413,0.2753842072998989,0.11593661893661894,0.231680717303638,0.1255509768009768,0.25629329285536007
